created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message,author
2017-10-27T14:46:09+0000,96033897836_10157369075767837,otima noticia estado paulo conseguiu baixar todos indicadores seguranca publica mes setembro resultado trabalho inteligencia combate forma integrada policias mando parabens todos envolvidos seguiremos trabalhando forte aumentar seguranca cidadaos preparadoparaobrasil,tivemos uma otima noticia . o estado de sao paulo conseguiu baixar todos os seus indicadores de seguranca publica no mes de setembro . isso e resultado de um trabalho de inteligencia e combate de forma integrada de nossas policias . mando meus parabens a todos os envolvidos . seguiremos trabalhando forte para aumentar a seguranca dos nossos cidadaos . # preparadoparaobrasil,471,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22742161_10157369090862837_2815692392168947712_n.jpg?_nc_cat=108&_nc_sid=ad6a45&_nc_ohc=EQ2zgLfQi5YAX_klEV8&_nc_ht=scontent.fplu2-1.fna&oh=0822986e671f84d48be97f5df6a41e4f&oe=5EB7C3C4,2218,41,14,2,125,112,True,alckmin
2017-10-26T21:28:12+0000,96033897836_10157366934972837,serie problemas encarecem producao pais famoso custo brasil acredito oportunidade fazer mudancas gerar empregos reverter quadro preparadoparaobrasil,temos uma serie de problemas que encarecem a producao em nosso pais o famoso custo brasil . acredito que temos a oportunidade de fazer mudancas para gerar empregos e reverter esse quadro . # preparadoparaobrasil,286,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22743051_10157366944352837_7073717871297167360_n.jpg?_nc_cat=110&_nc_sid=ad6a45&_nc_ohc=aJWWk3kV5UsAX_izm90&_nc_ht=scontent.fplu2-1.fna&oh=706ddd1a0b4fcc818a095b3aa6a1e5cb&oe=5EB6BC9B,1241,6,6,1,27,63,True,alckmin
2017-10-25T21:53:00+0000,96033897836_10157363965462837,experiencia combate criminalidade paulo penso problema violencia brasil preparadoparaobrasil,minha experiencia no combate a criminalidade em sao paulo e o que penso sobre o problema da violencia no brasil . # preparadoparaobrasil,318,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22744039_10157363988252837_9055575679009030144_n.jpg?_nc_cat=108&_nc_sid=ad6a45&_nc_ohc=m0uUzF0qTWIAX8Zow5I&_nc_ht=scontent.fplu2-1.fna&oh=b64fc1459412e2da829b924a79590aa2&oe=5EB63AAD,1487,80,6,1,38,75,True,alckmin
2017-10-25T13:09:17+0000,96033897836_10157362475212837, , ,54,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/22814513_10157362475127837_6242058240995698342_n.jpg?_nc_cat=100&_nc_sid=05277f&_nc_ohc=dq0cjdkZIsoAX8sOLwQ&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=c1c5913806cd18b22cea9c106d2a5bf9&oe=5EB90FD3,787,11,6,1,29,51,False,alckmin
2017-10-24T23:18:26+0000,96033897836_10157360994957837,algumas palavras importancia internet redes sociais conhecam novo site wwwgeraldoalckmincombr,algumas palavras sobre a importancia da internet e das redes sociais . conhecam meu novo site : www.geraldoalckmin.com.br,280,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22733705_10157361017107837_3987386503041908736_n.jpg?_nc_cat=110&_nc_sid=ad6a45&_nc_ohc=nSRojKCBMZgAX-HaFPY&_nc_ht=scontent.fplu2-1.fna&oh=46ffabb14ab15478b928695bf77cccdc&oe=5EB6F54B,2174,12,8,0,52,88,True,alckmin
2017-10-24T03:02:10+0000,96033897836_10157358281702837, , ,195,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/22730172_10157358281232837_6704337891893112872_n.jpg?_nc_cat=105&_nc_sid=7aed08&_nc_ohc=fPmyD7rwRnMAX9DT_9V&_nc_ht=scontent.fplu2-1.fna&oh=839555a5bc9e2dfe0318cc8ecfa1e8a0&oe=5EB85180,4015,25,19,2,93,205,False,alckmin
2017-10-24T03:01:35+0000,96033897836_10157358279417837, , ,72,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/22687932_10157358279397837_6818777911361184219_n.jpg?_nc_cat=106&_nc_sid=05277f&_nc_ohc=g_u7nFXLQX8AX-NywtZ&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=36d50d4fbe3d221d215fa3fe416e2bb0&oe=5EB7A45D,900,9,3,0,40,93,False,alckmin
2017-10-23T19:09:56+0000,96033897836_10157357011657837,destinando r milhoes municipios rio grande serra santa isabel suzano lourenco serra recursos aplicados parque ecologico rio grande serra compra equipamentos obras seguranca infraestrutura defensor boas parcerias federacao municipalismo preciso descentralizar pois proximo populacao conhece melhor resolve rapido problemas,estamos destinando r $ 4 5 milhoes para os municipios de rio grande da serra santa isabel suzano e sao lourenco da serra . os recursos serao aplicados no parque ecologico de rio grande da serra na compra de equipamentos e obras de seguranca e infraestrutura . sou defensor das boas parcerias da federacao e do municipalismo . e preciso descentralizar pois quem esta mais proximo da populacao conhece melhor e resolve mais rapido os problemas .,228,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22729521_10157357017427837_7421059388422488064_n.jpg?_nc_cat=103&_nc_sid=ad6a45&_nc_ohc=_UkGrjWnBHgAX8RWAYx&_nc_ht=scontent.fplu2-1.fna&oh=da6b26ea42ff36cb9e1b02f3102d7394&oe=5EB68D02,949,1,5,0,20,38,True,alckmin
2017-10-23T15:01:05+0000,96033897836_10157356395152837,assinamos contrato concessao rodovia calcados atravessa estado atende polos calcadistas franca jau r bilhoes investimento gerando empregos duplicacao km alem outras melhorias crescimento pais investimentos gerando empregos diminuindo acidentes melhorando infraestrutura wwwsaopaulospgovbrspnoticiasestadoeconcessionariaassinamcontratodasrodoviasdoscalcados,assinamos o contrato de concessao da rodovia dos calcados que atravessa o estado e atende os polos calcadistas de franca e jau . sao r $ 5 bilhoes de investimento gerando 2.800 empregos . so de duplicacao sao 277 km alem de outras melhorias . nao ha crescimento no pais sem investimentos como este gerando empregos diminuindo acidentes e melhorando a infraestrutura . www.saopaulo.sp.gov.br/spnoticias/estado-e-concessionaria-assinam-contrato-das-rodovias-dos-calcados,465,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22728167_10157356403647837_6466417389792657408_n.jpg?_nc_cat=101&_nc_sid=ad6a45&_nc_ohc=ZVL9lwoCp9UAX9VfyN4&_nc_ht=scontent.fplu2-1.fna&oh=5add5452d620735438b578b8a53474e1&oe=5EB8B8D8,1939,1,10,0,28,77,True,alckmin
2017-10-21T19:41:32+0000,96033897836_10157350649982837,chavantes municipios beneficiado turismo projeto angra doce desenvolvemos parceria governo parana cidade hoje entregar centro convivencia idoso dar boa noticia toda regiao final mes definicao empresa vai fazer obras raposo tavares ourinhos itapetininga wwwsaopaulospgovbrspnoticiaschavantesebeneficiadacomcentrodoidosoecarretadamamografia,chavantes e um dos municipios que sera beneficiado com o turismo pelo projeto angra doce que desenvolvemos em parceria com o governo do parana . estive na cidade hoje para entregar mais um centro de convivencia do idoso e dar a boa noticia a toda a regiao : no final do mes teremos a definicao da empresa que vai fazer as obras na raposo tavares entre ourinhos e itapetininga . www.saopaulo.sp.gov.br/spnoticias/chavantes-e-beneficiada-com-centro-do-idoso-e-carreta-da-mamografia,127,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/22708183_10157350658927837_2667117864103706624_n.jpg?_nc_cat=107&_nc_sid=ad6a45&_nc_ohc=xNF2UG0wWZkAX8w6a0Y&_nc_ht=scontent.fplu2-1.fna&oh=1ffe5a6b29fb76dc081737770f217f5b&oe=5EB65942,726,1,1,0,10,26,True,alckmin
