created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message
2020-02-18T20:17:48+0000,904277726319518_2855299197884018,ser abjet presidenc republ,um ser abjeto na presidencia da republica .,937,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQCpFjn9HXscyOD_&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F18%2F15820283015e4bd60d29f92_1582028301_3x2_lg.jpg&_nc_hash=AQBZwa3wxM1HuaDi,4588,177,44,723,2333,36,True
2020-02-17T10:51:16+0000,904277726319518_2852021088211829,bolsonar sempr odi nord impact cort bols posgraduaca feit bolsonar maior nord curs ating sao are engenh educaca medicin,bolsonaro sempre odiou o nordeste . impacto de corte de bolsas de pos-graduacao feito por bolsonaro foi maior no nordeste . os cursos mais atingidos sao das areas de engenharia educacao e medicina .,2674,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQAOxy2uyR6aetcm&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2019%2F12%2F22%2F15770525435dffe97fb9805_1577052543_3x2_rt.jpg&_nc_hash=AQBKkVTsLyD0_xET,3466,65,47,1307,2333,9,True
2020-02-15T11:59:30+0000,904277726319518_2847768221970449,colun seman sobr livr estad tent institucionaliz censur liter elit dirigent men tom gost leitur antes procur dirigil teri avanc cultural extraordinari,coluna da semana sobre livros . estados tentam institucionalizar a censura literaria . se as nossas elites dirigentes ao menos tomassem gosto pela leitura antes de procurar dirigi-la teriamos um avanco cultural extraordinario .,252,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQDTwWNkR-rx9zoV&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F14%2F15817069875e46eeeb7f2a3_1581706987_3x2_xl.jpg&_nc_hash=AQB41uYOnAvD43_S,1693,33,8,13,3,168,True
2020-02-13T22:16:20+0000,904277726319518_2844398988974039,vatican encontr lul pap francisc convers sobr mund just fratern lulacomfrancisc fot ricard stuckert,no vaticano encontro de lula com o papa francisco para conversar sobre um mundo mais justo e fraterno . # lulacomfrancisco fotos : ricardo stuckert,966,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-9/s720x720/86353770_2844398245640780_4461873818226393088_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=Gp11lmWhveEAX-R8GTt&_nc_ht=scontent-gru1-1.xx&_nc_tp=7&oh=760cc4ce0875259f66de8edf3ddba438&oe=5EAEBEFE,12894,325,48,6,22,5176,True
2020-02-12T23:32:25+0000,904277726319518_2842368455843759,car idiot vai ter ped desculp vez,esse cara e um idiota . vai ter que pedir desculpas mais uma vez .,4111,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQD4a3IzbncsTT7D&url=https%3A%2F%2Fogimg.infoglobo.com.br%2Feconomia%2F24219236-164-4ab%2FFT1086A%2F652%2F84445720_EN-Rio-de-Janeiro-RJ-06-09-2019Brasil-e-Argentina-anunciam-acordo-comercial-automoti.jpg&_nc_hash=AQBeTSFqXDZjAwjB,8865,190,140,893,4436,71,True
2020-02-11T12:35:18+0000,904277726319518_2839135976167007,invest drenag gesta doriacov cai relaca med r mian r mian,investimento em drenagem na gestao doria-covas cai 54 % em relacao a nossa . de uma media de r $ 334 mi/ano para r $ 153 mi/ano .,1747,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQC2xr7PcmTg7fEq&url=https%3A%2F%2Fconteudo.imguol.com.br%2Fc%2Fnoticias%2Fff%2F2020%2F02%2F10%2F10fev2020---avenida-mofarrej-ficou-completamente-alagada-apos-a-chuva-em-sao-paulo-moradores-nao-conseguem-sair-dos-predios-1581350811365_v2_615x300.jpg&_nc_hash=AQB3ofy8OCwwyoeT,4478,45,91,699,693,9,True
2020-02-10T23:36:00+0000,904277726319518_2838092716271333,lembret estad sao paul govern grup polit desd,lembrete : o estado de sao paulo e governado pelo mesmo grupo politico desde 1982 .,1029,mobile_status_update,None,10066,74,50,329,80,117,True
2020-02-10T20:29:15+0000,904277726319518_2837850746295530,desmont orga control continu sob bolsonar mor pf reduz operaco nao bat met,desmonte dos orgaos de controle continua : sob bolsonaro e moro pf reduz operacoes em 15 % e nao bate meta .,1408,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQCJ9d1iFDwYau3U&url=https%3A%2F%2Fconteudo.imguol.com.br%2Fc%2Fnoticias%2F1c%2F2020%2F01%2F23%2Fpresidente-jair-bolsonaro-e-ministro-da-justica-sergio-moro-durante-cerimonia-no-palacio-do-planalto-1579803716131_v2_615x300.jpg&_nc_hash=AQCtIqwSYIuN7vQm,2653,283,79,91,599,3,True
2020-02-10T14:34:47+0000,904277726319518_2837302123017059,hoj estar program arte encontr barb paz h canal brasil min incrivel,hoje estarei no programa a arte do encontro com barbara paz as 22h no canal brasil . essa mina e incrivel ! !,330,added_photos,https://scontent-gru2-1.xx.fbcdn.net/v/t1.0-9/s720x720/86183507_2837302066350398_994501455505260544_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=tWTWgkIlB7IAX87qjpQ&_nc_ht=scontent-gru2-1.xx&_nc_tp=7&oh=1cef192830637a6f3705bb52dfa3d8f2&oe=5EAFB4B3,7519,80,27,1,8,1349,True
2020-02-10T10:31:12+0000,904277726319518_2836859526394652,maldad dest hom nao limit,a maldade deste homem nao tem limites .,6044,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQC8X8xxZqPbMKtE&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F09%2F15812871595e4086f7c08a3_1581287159_3x2_rt.jpg&_nc_hash=AQDP-uo8tNI_goY6,7425,202,125,4997,3350,19,True
