created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message,author
2015-01-27T11:32:56+0000,398845206932703_422424554574768,territorios transversais saiu segunda edicao revista territorios transversais organizada mtst traz debates imprescindiveis combinando vigor militante rigor intelectual vale pena adquirir ler,territorios transversais saiu a segunda edicao da revista territorios transversais organizada pelo mtst . traz debates imprescindiveis combinando o vigor militante com o rigor intelectual . vale a pena adquirir e ler : http : //www.mtst.org/territorios/,29,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/10347702_422424327908124_142943263800592958_n.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=kyprKRctzFMAX8IHL27&_nc_ht=scontent.fplu2-1.fna&oh=91c90e821397d4bc89151649da73ab0a&oe=5EB80F80,97,0,0,0,0,0,True,boulos
2015-01-26T13:51:22+0000,398845206932703_422134541270436,direito cidade quarta ultima parte aula publica direito cidade participei convite coletivo arrua praca roosevelt paulo tema aumento alugueis reforma urbana gravacao edicao felipe campos leon cunha,direito a cidade 4 quarta e ultima parte da aula publica sobre direito a cidade que participei a convite do coletivo arrua na praca roosevelt em sao paulo . tema : aumento dos alugueis e reforma urbana . gravacao e edicao : felipe campos e leon cunha .,25,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQBx3dLpvqUYnH6b&w=480&h=360&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FGCO-BAOlA5k%2Fhqdefault.jpg&crop&_nc_hash=AQC0KDfmonFrBYS-,46,0,0,0,0,0,True,boulos
2015-01-25T23:22:50+0000,398845206932703_421859837964573,viva syriza grecia syriza vence eleicoes ampla vantagem relacao segundo colocado resta saber maioria absoluta povo grego votou contra austeridade politica recessiva ajuste faz trabalhadores pagarem crise grecia sinaliza rejeicao neoliberalismo paises europeus aqui lamentavelmente governo trilha caminho contrario,viva o syriza ! na grecia o syriza vence as eleicoes com ampla vantagem em relacao ao segundo colocado . resta saber se tera maioria absoluta . o povo grego votou contra a austeridade e a politica recessiva de ajuste que faz os trabalhadores pagarem pela crise . a grecia sinaliza a rejeicao ao neoliberalismo em paises europeus . por aqui lamentavelmente o governo trilha o caminho contrario .,33,mobile_status_update,None,355,0,0,0,0,0,True,boulos
2015-01-24T23:43:25+0000,398845206932703_421475098003047,direito cidade terceira parte aula publica direito cidade participei convite coletivo arrua praca roosevelt paulo tema especulacao imobiliaria exterminio periferias gravacao edicao felipe campos leon cunha,direito a cidade 3 terceira parte da aula publica sobre direito a cidade que participei a convite do coletivo arrua na praca roosevelt em sao paulo . tema : especulacao imobiliaria e exterminio nas periferias . gravacao e edicao : felipe campos e leon cunha .,28,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQD5wq1FUhwrH57U&w=480&h=360&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FmVSVsW3U7nw%2Fhqdefault.jpg&crop&_nc_hash=AQA5NPqiqqu_9YDI,71,0,0,0,0,0,True,boulos
2015-01-24T11:32:10+0000,398845206932703_421253124691911,direito cidade segunda parte aula publica direito cidade participei convite coletivo arrua praca roosevelt paulo tema legitimidade ocupacoes urbanas gravacao edicao felipe campos leon cunha,direito a cidade 2 segunda parte da aula publica sobre direito a cidade que participei a convite do coletivo arrua na praca roosevelt em sao paulo . tema : a legitimidade das ocupacoes urbanas . gravacao e edicao : felipe campos e leon cunha .,46,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQCTGELWvE7H168x&w=480&h=360&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FF3LsVgeDkaA%2Fhqdefault.jpg&crop&_nc_hash=AQD4_JB3mwKBDHki,95,0,0,0,0,0,True,boulos
2015-01-23T21:42:32+0000,398845206932703_421072138043343,declaracao frente reformas populares organizacoes sociais politicas assinam declaracao entendem urgente necessaria construcao frente coloque pauta tema reformas populares brasil frente objetivo concretizar ampla unidade construir mobilizacoes facam avancar conquista direitos sociais bandeiras historicas classe trabalhadora buscara fazer disputa consciencia opiniao sociedade propria natureza frente independencia total relacao governos neste momento proposta acao frente organizara torno grandes eixos luta reformas populares enfrentamento pautas direita sociedade congresso judiciario governos contra ataques direitos trabalhistas previdenciarios investimentos sociais contra repressao lutas sociais genocidio juventude negra pobre periferica cenario demissoes tentativas reducao salarial cortes direitos preciso colocar pauta enfrentamento politica ajuste fiscal governo federal governos estaduais prefeituras defendemos imediata revogacao mps representam ataques segurodesemprego pensoes chamamos necessidade enfrentar aumento tarifas servicos concessoes publicas transporte urbano energia eletrica agua aceitaremos trabalhadores paguem crise neste sentido frente adotara seguintes encaminhamentos construir conjuntamente dia lutas chamado centrais sindicais apoiar construir lutas relacao ajuste fiscal ataque direitos sociais aumento tarifas transporte falta dagua criminalizacao lutas sociais genocidio juventude periferias realizar mobilizacoes torno mote devolve gilmar visando imediato julgamento stf acao oab contra financiamento empresarial campanhas eleitorais apoiar jornadas reforma urbana reforma agraria marco organizar dia nacional lutas unificado indicativo marco maio realizar seminario nacional avancar plataforma construcao frente indicativo paulo janeiro assinam movimento trabalhadores teto mtst movimento trabalhadores rurais terra mst central unica trabalhadores cut partido socialismo liberdade psol central movimentos populares cmp uniao nacional estudantes une coletivo juntos coletivo rua eixo intersindical central classe trabalhadora uniao juventude socialista ujs uneafro unegro uniao brasileira mulheres ubm igreja povo deus movimento servico franciscano solidariedade sefras acao franciscana ecologia solidariedade servico interfranciscano justica paz ecologia movimento sul movimento popular moradia mpm coletivo arrua juventude socialismo liberdade jsol rede ecumenica juventude reju conselho nacional igrejas cristas conic forum ecumenico act alianca brasil feact articulacao igrejas movimentos populares,declaracao da frente pelas reformas populares as organizacoes sociais e politicas que assinam esta declaracao entendem que e urgente e necessaria a construcao de uma frente que coloque em pauta o tema das reformas populares no brasil . esta frente tera o objetivo de concretizar uma ampla unidade para construir mobilizacoes que facam avancar a conquista de direitos sociais e bandeiras historicas da classe trabalhadora . buscara tambem fazer a disputa de consciencia e opiniao na sociedade . por sua propria natureza sera uma frente com independencia total em relacao aos governos . neste momento a proposta de acao da frente se organizara em torno de 4 grandes eixos : 1 ) luta pelas reformas populares ; 2 ) enfrentamento das pautas da direita na sociedade no congresso no judiciario e nos governos ; 3 ) contra os ataques aos direitos trabalhistas previdenciarios e investimentos sociais ; 4 ) contra a repressao as lutas sociais e o genocidio da juventude negra e pobre e periferica . num cenario de demissoes tentativas de reducao salarial e cortes de direitos e preciso colocar em pauta o enfrentamento da politica de ajuste fiscal do governo federal dos governos estaduais e prefeituras . defendemos a imediata revogacao das mps 664 e 665/14 que representam ataques ao seguro-desemprego e pensoes . chamamos tambem para a necessidade de enfrentar o aumento de tarifas de servicos e concessoes publicas como o transporte urbano a energia eletrica e a agua . nao aceitaremos que os trabalhadores paguem pela crise . neste sentido a frente adotara os seguintes encaminhamentos : - construir conjuntamente o dia de lutas de 28/1 chamado pelas centrais sindicais ; - apoiar e construir lutas em relacao ao ajuste fiscal e ataque a direitos sociais o aumento das tarifas do transporte a falta d'agua a criminalizacao das lutas sociais e o genocidio da juventude nas periferias ; - realizar mobilizacoes em torno do mote `` devolve gilmar '' visando imediato julgamento pelo stf da acao da oab contra o financiamento empresarial de campanhas eleitorais ; - apoiar as jornadas pela reforma urbana e pela reforma agraria em marco ; - organizar um dia nacional de lutas unificado com indicativo entre marco e maio . - realizar um seminario nacional para avancar na plataforma e construcao da frente com indicativo para 7/3 . sao paulo 22 de janeiro de 2015 assinam : movimento dos trabalhadores sem teto ( mtst ) movimento dos trabalhadores rurais sem terra ( mst ) central unica dos trabalhadores ( cut ) partido socialismo e liberdade ( psol ) central de movimentos populares ( cmp ) uniao nacional dos estudantes ( une ) coletivo juntos coletivo rua fora do eixo intersindical - central da classe trabalhadora uniao da juventude socialista ( ujs ) uneafro unegro uniao brasileira de mulheres ( ubm ) igreja povo de deus em movimento servico franciscano de solidariedade ( sefras ) acao franciscana de ecologia e solidariedade servico inter-franciscano de justica paz e ecologia movimento nos da sul movimento popular por moradia ( mpm ) coletivo arrua juventude socialismo e liberdade ( jsol ) rede ecumenica da juventude ( reju ) conselho nacional de igrejas cristas ( conic ) forum ecumenico act alianca brasil ( feact ) articulacao igrejas e movimentos populares,35,mobile_status_update,None,92,0,0,0,0,0,True,boulos
2015-01-23T21:14:20+0000,398845206932703_421063888044168,vitoria garra apos semana impasse ameacas despejo parte prefeitura ocupacao sonho real vive aparecida goiania conseguiu arrancar acordo construcao moradias familias semteto desocupou area hoje resistencia mtst familias decisiva vitoria,vitoria com garra ! apos uma semana de impasse e com ameacas de despejo por parte da prefeitura a ocupacao sonho real vive em aparecida de goiania conseguiu arrancar um acordo de construcao de moradias para as 400 familias sem-teto e desocupou a area hoje . a resistencia do mtst e das familias foi decisiva para esta vitoria .,49,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/10850101_421063838044173_3675793776558087188_n.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=qAcdp4Gu3PkAX9kpT8O&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=9dea2214c571bb174df96c85ef1995b2&oe=5EB73E0D,219,0,0,0,0,0,True,boulos
2015-01-23T12:30:01+0000,398845206932703_420904181393472,direito cidade primeira parte aula publica direito cidade participei convite coletivo arrua praca roosevelt paulo tema manda cidade gravacao edicao felipe campos leon cunha,direito a cidade primeira parte da aula publica sobre direito a cidade que participei a convite do coletivo arrua na praca roosevelt em sao paulo . tema : quem manda na cidade ? gravacao e edicao : felipe campos e leon cunha .,50,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQBoTexquyy7zbvA&w=480&h=360&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2Fjda-IB5Jti0%2Fhqdefault.jpg&crop&_nc_hash=AQBM3hDkb6IWFm3L,125,0,0,0,0,0,True,boulos
2015-01-22T19:02:10+0000,398845206932703_420677221416168,agora milhares pessoas comecam concentrar pontos periferia paulo panelacos periferia contra aumento organizados mtst contra tarifaco transporte coletivo energia eletrica agua preco alimentos chega aumento custo vida trabalhadores,agora mesmo ! milhares de pessoas ja comecam a se concentrar em 7 pontos da periferia de sao paulo para os panelacos da periferia contra o aumento organizados pelo mtst . contra o `` tarifaco '' : transporte coletivo energia eletrica agua e preco dos alimentos . chega de aumento no custo de vida dos trabalhadores !,29,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/10941859_420677184749505_1965256496399777718_n.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=fPvnUS-MS-oAX9nMZfl&_nc_ht=scontent.fplu2-1.fna&oh=0828e4154b9cd8e4caf0e44cf7ea7988&oe=5EB90E4A,172,0,0,0,0,0,True,boulos
2015-01-22T11:54:33+0000,398845206932703_420541614763062,tras r coluna folha hoje maior empresario onibus cidade jose ruas vaz conhecido barao asfalto papa catracas fundador dono grupo ruas controla nada menos frota recebe repasses publicos controla transporte guarulhos outras cidades regiao metropolitana,quem esta por tras dos r $ 0 50 ? minha coluna na folha hoje : `` o maior empresario de onibus da cidade e jose ruas vaz tambem conhecido como `` barao do asfalto '' ou `` papa das catracas '' . e o fundador e dono do grupo ruas que controla nada menos que 53 % da frota e recebe 56 % dos repasses publicos . controla tambem o transporte em guarulhos e outras cidades da regiao metropolitana '' .,52,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQC89EYZ-otFsZfe&url=http%3A%2F%2Ff.i.uol.com.br%2Ffolha%2Ffurniture%2F5.2%2Fimages%2Flgo-folha_facebook.jpg&_nc_hash=AQDGeBo4EW2cqfCD,113,0,0,0,0,0,True,boulos
